Spanish,English
que,what
de,from
no,do not
a,to
la,the
el,he
es,is
y,Y
en,in
lo,the
un,a
por,by
qué,what
me,me
una,a
te,tea
los,the
se,HE
con,with
para,for
mi,my
está,this
si,yes
bien,all right
pero,but
yo,I
eso,that
las,the
sí,yes
su,his
tu,you
aquí,here
del,of the
al,to the
como,as
le,you
más,plus
esto,this
ya,already
todo,all
esta,this
vamos,come on
muy,very
hay,there are
ahora,now
algo,something
estoy,I am
tengo,I have
nos,us
tú,you
nada,nothing
cuando,when
ha,he has
este,East
sé,HE
estás,these
así,A) Yes
puedo,may l
cómo,how
quiero,I want
sólo,alone
soy,I am
tiene,has
gracias,Thank you
o,or
él,he
bueno,good
fue,It was
ser,be
hacer,do
son,They are
todos,everybody
era,was
eres,you are
vez,time
tienes,do you have
creo,I believe
ella,she
he,I have
ese,that
voy,I go
puede,can
sabes,you know
hola,Hello
sus,their
porque,why
dios,God
quién,who
nunca,never
dónde,where
quieres,you want
casa,home
favor,favor
esa,that
dos,two
tan,so
señor,Mr
tiempo,weather
verdad,true
estaba,I was
mejor,best
están,is it so
va,goes
hombre,man
usted,you
mucho,a lot
hace,does
entonces,so
siento,I feel
tenemos,we have
puedes,can
ahí,there
ti,you
vida,lifetime
ver,see
alguien,someone
sr,Mr
hasta,until
sin,without
mí,my
solo,alone
años,years
sobre,on
decir,say
uno,one
siempre,always
oh,oh
ir,go
cosas,things
también,as well
antes,before
has,you
ni,neither
mis,my
día,day
estar,to be
estamos,we're
noche,night
nadie,no one
otra,other
quiere,wants
parece,It seems
nosotros,US
poco,little bit
padre,father
trabajo,job
gente,people
mira,look
vas,you go
sea,be
les,them
donde,where
mismo,same
hecho,fact
ellos,they
dijo,He said
pasa,pass
dinero,money
hijo,son
tal,such
otro,other
hablar,talk
seguro,insurance
claro,Clear
estas,these
lugar,place
mundo,world
amigo,friend
espera,wait
mierda,shit
han,they have
tus,your
sabe,knows
después,after
momento,moment
desde,since
fuera,outside
cosa,thing
tipo,kind
mañana,morning
podemos,we can
dije,said
gran,great
necesito,I need
estado,state
podría,could
acuerdo,agreement
papá,dad
tener,to have
dice,He says
mío,my own
crees,you think
buena,good
gusta,like
nuestro,our
nuevo,new
será,be
